Marka,Model,Rok produkcji,Przebieg,Pojemnosc silnika,Moc,Rodzaj paliwa,Skrzynia biegow,Kolor,Cena
Honda,FR-V,2005,260000,1700,120,Benzyna,manualna,niebieski,14900
Ford,Galaxy,2008,231000,2000,140,Olej Napędowy,manualna,grafitowy metalik,23500
Nissan,NV200,2016,220000,1500,90,Olej Napędowy,manualna,biały,29900
BMW,Seria 3,2010,115000,2000,143,Benzyna,manualna,bordowy metalik,33900
Kia,Sportage,2001,150000,2000,83,Olej Napędowy,manualna,srebrny,14900
Ford,Mondeo,2016,201000,2000,150,Olej Napędowy,manualna,srebrny metalik,52900
Ford,Galaxy,2013,78000,2000,140,Olej Napędowy,automatyczna,zielony metalik,55000
Volvo,S60,2002,315000,2500,240,Autogaz,manualna,niebieski,16000
Volkswagen,Passat,2001,152000,1800,150,Benzyna,automatyczna,srebrny metalik,11000
Toyota,Avensis,2007,231000,2000,126,Olej Napędowy,manualna,szary metalik,14500
Mazda,Demio,1999,165000,1300,64,Benzyna,manualna,srebrny metalik,4700
Fiat,Punto,2004,200000,1,60,Benzyna,manualna,szary metalik,5500
Audi,A6,1997,222000,2400,176,Benzyna,manualna,biały,5900
BMW,Seria 1,2012,186000,1598,136,Benzyna,manualna,czarny,35999
Škoda,Fabia,2003,330000,1900,64,Olej Napędowy,manualna,biały,5900
Fiat,126,1993,80000,650,24,Benzyna,manualna,czerwony metalik,2500
Opel,Corsa,2003,217000,1200,1,Benzyna,manualna,niebieski metalik,5400
Peugeot,206,2005,173000,1100,1,Benzyna,manualna,czarny metalik,5400
Audi,A4,2000,295000,1989,115,Olej Napędowy,manualna,granatowy,5900
Seat,Cordoba,2003,257970,1,101,Olej Napędowy,manualna,grafitowy,5600
Mercedes-Benz,W124,1989,276432,2998,188,Benzyna,automatyczna,złoty metalik,31000
Nissan,Murano,2006,234557,3489,270,Autogaz,automatyczna,grafitowy metalik,11500
Hyundai,Tucson,2005,146000,2000,113,Olej Napędowy,manualna,zielony metalik,20000
BMW,Seria 3,2007,229000,2000,163,Olej Napędowy,manualna,srebrny metalik,15900
Renault,Megane,2006,320000,1900,130,Olej Napędowy,manualna,niebieski,4550
Smart,Fortwo,2001,225000,800,1,Olej Napędowy,automatyczna,szary,5700
Škoda,Fabia,2016,178000,1,90,Benzyna,manualna,biały,32850
Suzuki,Swift,2007,181000,1300,71,Olej Napędowy,manualna,szary,11600
Fiat,Stilo,2005,204000,1910,105,Olej Napędowy,manualna,zielony metalik,6900
Peugeot,5008,2010,152000,1598,156,Benzyna,manualna,srebrny metalik,26900
Audi,80,1994,240000,2000,115,Benzyna,manualna,fioletowy,6500
Suzuki,Vitara,1993,174,1600,80,Autogaz,manualna,czarny,5000
Volkswagen,Passat,2013,68000,1400,160,Benzyna,manualna,czarny,45500
Mercedes-Benz,CLK,2003,222000,2700,170,Olej Napędowy,manualna,srebrny metalik,16900
Peugeot,308,2012,220000,1600,92,Olej Napędowy,manualna,granatowy,19900
Renault,Grand Scenic,2009,325000,2000,140,Autogaz,automatyczna,czarny metalik,29500
Chrysler,Grand Voyager,1999,400,2400,151,Autogaz,manualna,grafitowy,5500
Rover,75,2002,250000,2000,115,Olej Napędowy,manualna,granatowy,4800
BMW,Seria 3,2006,188000,2000,150,Benzyna,manualna,srebrny metalik,18900
Nissan,Qashqai,2011,196500,1500,110,Olej Napędowy,manualna,szary metalik,33800
Seat,Cordoba,2001,186,1400,80,Benzyna,manualna,bordowy,2350
Dacia,Duster,2011,117500,1500,110,Olej Napędowy,manualna,czarny metalik,26800
Mazda,CX-5,2012,164000,2191,150,Olej Napędowy,manualna,czarny metalik,28000
Honda,CR-V,2008,211353,2000,150,Autogaz,manualna,granatowy metalik,41500
Kia,Cee'd,2013,147000,1396,100,Autogaz,manualna,biały,34900
Toyota,RAV4,2003,241964,2000,150,Benzyna,manualna,srebrny metalik,24500
Nissan,Micra,2003,72000,1386,74,Benzyna,manualna,szary,12900
BMW,Seria 3,1998,371741,2000,150,Benzyna,manualna,czarny,4950
Peugeot,406,1998,209000,1800,105,Autogaz,manualna,zielony,2600
Seat,Ibiza,2006,180000,1390,75,Benzyna,manualna,czarny metalik,9900
Renault,Modus,2008,177,1200,103,Benzyna,manualna,czarny,12900
Fiat,Seicento,2002,192000,1100,70,Benzyna,manualna,biały,1500
Škoda,Fabia,2003,191000,1200,64,Benzyna,manualna,niebieski,6600
Toyota,Avensis,2007,221000,2200,177,Olej Napędowy,manualna,granatowy metalik,16000
Peugeot,206,2003,200346,1400,75,Benzyna,manualna,czerwony,3200
Audi,A3,2004,224135,2000,140,Olej Napędowy,manualna,szary metalik,19900
Seat,Ibiza,2014,139500,1400,140,Benzyna,manualna,czarny metalik,26900
Škoda,Fabia,2000,181000,1400,1,Benzyna,manualna,srebrny metalik,6300
BMW,Seria 3,2008,187100,3000,280,Benzyna,manualna,srebrny metalik,30900
Hyundai,Getz,2009,181100,1100,75,Benzyna,manualna,granatowy metalik,6999
Citroën,DS3,2018,62000,1600,99,Olej Napędowy,manualna,granatowy metalik,48500
Mazda,6,2013,292000,2000,165,Benzyna,manualna,granatowy metalik,53500
Jaguar,X-Type,2005,148100,3000,231,Benzyna,automatyczna,srebrny metalik,16900
Fiat,500,2012,185100,1400,105,Benzyna,manualna,biały metalik,21900
Fiat,Punto Evo,2010,230100,1400,80,Autogaz,manualna,grafitowy metalik,15900
Kia,Sportage,2017,189000,2000,185,Olej Napędowy,automatyczna,srebrny metalik,95500
Seat,Leon,2001,314629,1897,130,Olej Napędowy,manualna,srebrny metalik,9500
Audi,A3,2000,290000,1800,180,Benzyna,manualna,niebieski,7500
Opel,Astra,2009,250,1686,110,Olej Napędowy,manualna,biały,13500
Renault,Megane,2003,260000,1900,120,Olej Napędowy,manualna,srebrny,4800
Mazda,6,2003,229,2,136,Olej Napędowy,manualna,fioletowy,4500
Fiat,Panda,2007,200000,1248,69,Olej Napędowy,manualna,czerwony,9200
Ford,Fiesta,2005,142800,1388,81,Benzyna,manualna,czarny metalik,9500
Mercedes-Benz,W124,1993,240000,2497,90,Olej Napędowy,manualna,złoty,12800
Mazda,323F,1998,257,2000,95,Olej Napędowy,manualna,zielony,3000
Seat,Cordoba,1998,210000,1600,101,Benzyna,manualna,niebieski,3200
Honda,Civic,1994,236343,1500,90,Benzyna,manualna,szary,2950
BMW,Seria 5,2005,206420,2500,177,Benzyna,manualna,grafitowy metalik,24300
Audi,TT,2007,247000,2000,200,Benzyna,manualna,czarny metalik,35990
Citroën,C4 Picasso,2008,207300,2000,137,Olej Napędowy,automatyczna,szary metalik,17600
Seat,Leon,2001,361912,1900,90,Olej Napędowy,manualna,srebrny,2950
Fiat,Palio,1999,154619,1200,72,Benzyna,manualna,szary,1800
Audi,A3,2000,311364,1900,90,Olej Napędowy,manualna,zielony,4300
Mazda,CX-30,2019,28000,1998,180,Benzyna,manualna,szary metalik,125000
Ford,C-MAX,2010,150000,1800,115,Olej Napędowy,manualna,grafitowy,21900
Toyota,Avensis,2008,240000,2000,126,Olej Napędowy,manualna,złoty metalik,18500
Audi,A3,2002,203000,1600,102,Benzyna,manualna,czarny metalik,9900
BMW,Seria 3,2002,230000,2,150,Olej Napędowy,manualna,srebrny metalik,3200
Seat,Altea,2007,211,1800,160,Benzyna,manualna,biały,17800
Peugeot,207,2008,200800,1400,95,Benzyna,manualna,niebieski,13900
Peugeot,307 CC,2004,205000,2000,136,Benzyna,manualna,niebieski metalik,11500
BMW,Seria 3,1997,163000,1895,87,Benzyna,manualna,czerwony metalik,6000
Suzuki,Ignis,2004,237900,1300,1,Olej Napędowy,manualna,niebieski metalik,10600
Suzuki,Ignis,2004,237900,1300,1,Olej Napędowy,manualna,niebieski metalik,10600
Opel,Agila,2008,174000,1000,1,Benzyna,manualna,zielony metalik,12900
Fiat,Panda,2007,245000,1200,1,Benzyna,manualna,niebieski metalik,11900
